date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-04-13,Parramatta,7.8,23.0,0.0,66.97541,15.2,4,0,0,0
2020-04-14,Parramatta,10.3,27.2,0.0,71.385994,16.9,4,0,1,0
2020-04-15,Parramatta,12.0,30.0,0.0,49.003334,18.0,4,0,1,0
2020-04-16,Parramatta,15.5,26.0,0.0,54.075466,10.5,4,0,1,0
2020-04-17,Parramatta,14.8,27.0,0.0,61.57909,12.2,4,0,1,0
2020-04-18,Parramatta,11.0,24.0,0.0,71.735466,13.0,4,0,0,0
2020-04-19,Parramatta,9.0,22.2,0.0,72.052414,13.2,4,0,0,0
2020-04-20,Parramatta,11.2,20.0,0.0,75.86727,8.8,4,0,0,0
2020-04-21,Parramatta,10.5,25.6,0.0,57.287037,15.100000000000001,4,0,1,0
2020-04-22,Parramatta,12.3,25.5,0.0,47.76581,13.2,4,0,0,0
2020-04-23,Parramatta,9.8,24.8,0.0,57.855015,15.0,4,0,0,0
2020-04-24,Parramatta,13.7,28.0,0.0,58.00202,14.3,4,0,1,0
2020-04-25,Parramatta,11.2,27.2,0.0,62.357258,16.0,4,0,1,0
2020-04-26,Parramatta,11.5,27.3,0.0,65.4339,15.8,4,0,1,0
2020-04-27,Parramatta,11.6,21.2,0.0,64.428246,9.6,4,0,0,0
2020-04-28,Parramatta,14.3,22.3,0.4,61.486893,8.0,4,0,0,0
2020-04-29,Parramatta,14.8,25.2,0.2,48.746037,10.399999999999999,4,0,0,0
2020-04-30,Parramatta,14.8,18.5,0.2,48.55623,3.6999999999999993,4,0,0,0
2020-05-01,Parramatta,9.8,16.3,15.6,43.538593,6.5,5,0,0,0
2020-05-02,Parramatta,11.2,18.0,0.0,55.992786,6.800000000000001,5,0,0,0
2020-05-03,Parramatta,6.7,20.0,0.0,52.611786,13.3,5,0,0,0
2020-05-04,Parramatta,6.0,19.6,0.0,55.617733,13.600000000000001,5,0,0,0
2020-05-05,Parramatta,10.0,20.7,0.6,68.45647,10.7,5,0,0,0
2020-05-06,Parramatta,7.0,22.7,0.0,50.44078,15.7,5,0,0,0
2020-05-07,Parramatta,7.8,23.7,0.0,80.43814,15.899999999999999,5,0,0,0
2020-05-08,Parramatta,12.8,27.0,0.0,75.74823,14.2,5,0,1,0
2020-05-09,Parramatta,15.2,25.3,0.0,74.55535,10.100000000000001,5,0,0,0
2020-05-10,Parramatta,7.0,17.7,0.0,75.33271,10.7,5,0,0,0
2020-05-11,Parramatta,3.0,19.2,0.0,71.93141,16.2,5,0,0,0
2020-05-12,Parramatta,4.8,20.0,0.0,81.98874,15.2,5,0,0,0
2020-05-13,Parramatta,7.2,18.8,0.0,54.54091,11.600000000000001,5,0,0,0
2020-05-14,Parramatta,7.3,18.4,0.0,50.565117,11.099999999999998,5,0,0,0
2020-05-15,Parramatta,6.2,17.0,0.2,45.778282,10.8,5,0,0,0
2020-05-16,Parramatta,9.1,18.8,3.0,45.54259,9.700000000000001,5,0,0,0
2020-05-17,Parramatta,7.2,20.8,0.0,59.267292,13.600000000000001,5,0,0,0
2020-05-18,Parramatta,8.0,18.6,0.6,52.50344,10.600000000000001,5,0,0,0
2020-05-19,Parramatta,10.2,21.8,1.0,70.584885,11.600000000000001,5,0,0,0
2020-05-20,Parramatta,10.0,23.7,0.0,88.4142,13.7,5,0,0,0
2020-05-21,Parramatta,13.2,18.8,0.0,52.34091,5.600000000000001,5,0,0,0
2020-05-22,Parramatta,7.8,16.8,39.4,46.714184,9.0,5,0,0,0
2020-05-23,Parramatta,10.2,18.2,3.0,49.78091,8.0,5,0,0,0
2020-05-24,Parramatta,12.3,17.9,0.8,57.363506,5.599999999999998,5,0,0,0
2020-05-25,Parramatta,12.0,16.7,0.0,64.93037,4.699999999999999,5,0,0,0
2020-05-26,Parramatta,12.2,19.4,12.0,56.759285,7.199999999999999,5,0,0,0
2020-05-27,Parramatta,10.0,20.0,0.6,74.84143,10.0,5,0,0,0
2020-05-28,Parramatta,8.6,22.0,0.0,85.30269,13.4,5,0,0,0
2020-05-29,Parramatta,9.2,17.0,0.0,90.69666,7.800000000000001,5,0,0,0
2020-05-30,Parramatta,9.0,20.0,1.8,87.93841,11.0,5,0,0,0
2020-05-31,Parramatta,10.0,21.3,0.0,76.27257,11.3,5,0,0,0
2020-06-01,Parramatta,9.7,22.3,0.0,72.32634,12.600000000000001,6,0,0,0
2020-06-02,Parramatta,5.0,16.6,1.2,60.358814,11.600000000000001,6,0,0,0
2020-06-03,Parramatta,5.2,19.0,0.0,67.516205,13.8,6,0,0,0
2020-06-04,Parramatta,9.1,16.5,0.0,69.665955,7.4,6,0,0,0
2020-06-05,Parramatta,3.2,19.8,0.0,67.86873,16.6,6,0,0,0
2020-06-06,Parramatta,4.6,19.3,0.0,67.67237,14.700000000000001,6,0,0,0
2020-06-07,Parramatta,6.2,17.8,0.0,69.80678,11.600000000000001,6,0,0,0
2020-06-08,Parramatta,7.0,18.0,10.0,61.943546,11.0,6,0,0,0
2020-06-09,Parramatta,8.2,19.0,1.0,68.87785,10.8,6,0,0,0
2020-06-10,Parramatta,9.8,16.2,3.0,70.334755,6.399999999999999,6,0,0,0
2020-06-11,Parramatta,12.2,21.6,1.4,75.10627,9.400000000000002,6,0,0,0
2020-06-12,Parramatta,9.8,15.2,0.0,75.72065,5.399999999999999,6,0,0,0
2020-06-13,Parramatta,8.8,20.0,3.0,70.36491,11.2,6,0,0,0
2020-06-14,Parramatta,11.8,20.7,7.2,55.61325,8.899999999999999,6,0,0,0
2020-06-15,Parramatta,6.3,20.0,0.0,57.66071,13.7,6,0,0,0
2020-06-16,Parramatta,9.4,20.8,0.0,63.043926,11.4,6,0,0,0
2020-06-17,Parramatta,7.4,16.2,0.0,67.313446,8.799999999999999,6,0,0,0
2020-06-18,Parramatta,9.4,19.0,1.8,64.122314,9.6,6,0,0,0
2020-06-19,Parramatta,5.0,19.8,0.0,74.59501,14.8,6,0,0,0
2020-06-20,Parramatta,6.2,20.0,0.0,75.40202,13.8,6,0,0,0
2020-06-21,Parramatta,8.2,19.2,6.0,57.7922,11.0,6,0,0,0
2020-06-22,Parramatta,6.8,16.5,0.0,59.00507,9.7,6,0,0,0
2020-06-23,Parramatta,6.3,15.7,0.0,61.81173,9.399999999999999,6,0,0,0
2020-06-24,Parramatta,5.2,18.2,0.0,56.87832,13.0,6,0,0,0
2020-06-25,Parramatta,6.0,18.3,0.0,45.39343,12.3,6,0,0,0
2020-06-26,Parramatta,6.4,19.5,0.0,54.626457,13.1,6,0,0,0
2020-06-27,Parramatta,8.0,16.6,0.0,68.14189,8.600000000000001,6,0,0,0
2020-06-28,Parramatta,6.8,15.6,1.0,63.71767,8.8,6,0,0,0
2020-06-29,Parramatta,6.5,17.1,0.0,70.370384,10.600000000000001,6,0,0,0
2020-06-30,Parramatta,5.3,18.3,0.2,71.83075,13.0,6,0,0,0
2020-07-01,Parramatta,4.5,21.3,0.0,72.58294,16.8,7,0,0,0
2020-07-02,Parramatta,7.8,22.8,0.0,78.85553,15.0,7,0,0,0
2020-07-03,Parramatta,6.8,18.0,0.0,78.47897,11.2,7,0,0,0
2020-07-04,Parramatta,6.3,16.3,0.6,64.60821,10.0,7,0,0,0
2020-07-05,Parramatta,6.3,18.3,0.0,63.340775,12.0,7,0,0,0
2020-07-06,Parramatta,5.3,18.3,0.0,67.0215,13.0,7,0,0,0
2020-07-07,Parramatta,7.5,16.5,0.0,59.53969,9.0,7,0,0,0
2020-07-08,Parramatta,8.5,15.5,3.0,56.076122,7.0,7,0,0,0
2020-07-09,Parramatta,4.5,18.2,0.0,60.54937,13.7,7,0,0,0
2020-07-10,Parramatta,7.5,16.8,0.0,63.98631,9.3,7,0,0,0
2020-07-11,Parramatta,10.2,18.5,3.2,63.22444,8.3,7,0,0,0
2020-07-12,Parramatta,8.5,17.5,1.2,55.842392,9.0,7,0,0,0
2020-07-13,Parramatta,5.6,17.6,6.0,55.391262,12.000000000000002,7,0,0,0
2020-07-14,Parramatta,9.2,16.2,11.0,52.98688,7.0,7,0,0,0
2020-07-15,Parramatta,10.8,15.6,1.6,59.920376,4.799999999999999,7,0,0,0
2020-07-16,Parramatta,8.8,16.6,0.0,52.659645,7.800000000000001,7,0,0,0
2020-07-17,Parramatta,10.2,16.2,0.0,57.651592,6.0,7,0,0,0
2020-07-18,Parramatta,8.2,17.2,0.0,54.871933,9.0,7,0,0,0
2020-07-19,Parramatta,4.6,19.2,0.0,61.149334,14.6,7,0,0,0
2020-07-20,Parramatta,6.8,18.0,0.0,57.88324,11.2,7,0,0,0
2020-07-21,Parramatta,3.6,17.2,0.0,76.11571,13.6,7,0,0,0
2020-07-22,Parramatta,3.6,18.2,0.0,62.44859,14.6,7,0,0,0
2020-07-23,Parramatta,4.2,19.4,0.0,51.676933,15.2,7,0,0,0
