date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,month,is_summer
2020-02-28,Parramatta,25.151123,14.32782,10.823303,2020-02-28 18:00:00,2020-02-28 18:00:00,14.32782,14.32782,0.0,11.0,0.0,0,0,Not hot day,72.2902725,2.6622668666666667,1001.4701437499999,0.2517700196,2,1
2020-02-29,Parramatta,25.451569,16.894714,8.556854999999999,2020-02-29 18:00:00,2020-02-29 18:00:00,16.894714,16.894714,0.0,11.0,0.0,0,0,Not hot day,70.21594879166666,2.51039035,1008.2218095833333,0.6957054225,2,1
2020-03-01,Parramatta,27.313446,17.726715,9.586731,2020-03-01 18:00:00,2020-03-01 18:00:00,17.997711,17.997711,0.0,11.0,0.0,1,1,Extreme risk,76.15292529166666,2.367117941666667,1006.8923208333334,0.187397003,3,0
2020-03-02,Parramatta,33.66086,17.222687,16.438173,2020-03-02 18:00:00,2020-03-02 18:00:00,17.222687,17.222687,0.0,11.0,0.0,1,1,Extreme risk,64.56412966666666,3.041248,1001.5541558333333,0.042438506,3,0
2020-03-03,Parramatta,36.64682,19.525482,17.121337999999998,2020-03-03 18:00:00,2020-03-04 05:00:00,19.525482,19.114838,11.0,11.0,0.03733127272727285,1,0,Low risk,63.105597458333335,3.7115265333333336,1007.9687254166666,0.14495849556,3,0
2020-03-04,Parramatta,22.007935,18.988678,3.0192569999999996,2020-03-04 18:00:00,2020-03-04 18:00:00,20.032867,20.032867,0.0,11.0,0.0,0,0,Not hot day,91.70999704166667,2.0848794154166668,1012.3699466666667,20.66183082,3,0
2020-03-05,Parramatta,23.517914,22.015167,1.5027469999999994,2020-03-05 18:00:00,2020-03-05 20:00:00,22.082855,22.015167,2.0,11.0,0.03384399999999843,0,0,Not hot day,84.49061625,3.8777559791666665,1006.9203804166667,8.09478760106,3,0
2020-03-06,Parramatta,27.466461,20.06253,7.403931,2020-03-06 18:00:00,2020-03-06 18:00:00,20.06253,20.06253,0.0,11.0,0.0,1,1,Extreme risk,92.67806095833333,2.2334388241666665,999.6014795833333,17.34542849928,3,0
2020-03-07,Parramatta,26.565826,19.495209,7.070617000000002,2020-03-07 18:00:00,2020-03-07 19:00:00,19.519562,19.507355,1.0,11.0,0.012207000000000079,1,0,Low risk,77.35465183333334,4.139587008333334,1007.6884087499999,1.5611648514,3,0
2020-03-08,Parramatta,22.93631,16.889526,6.046783999999999,2020-03-08 18:00:00,2020-03-08 18:00:00,16.889526,16.889526,0.0,11.0,0.0,0,0,Not hot day,82.70281254166666,2.9804486000000003,1013.0672691666667,3.35454943,3,0
2020-03-09,Parramatta,21.978027,17.066559,4.911467999999999,2020-03-09 18:00:00,2020-03-09 18:00:00,17.066559,17.066559,0.0,11.0,0.0,0,0,Not hot day,80.028971625,2.4220622208333333,1012.8491820833333,1.790046696,3,0
